TIMESTAMP               | EVENTO             |    PID | ESTADO       |    CPU% |       MEM | ALGORITMO    |  QUANTUM | DETALLE
------------------------+--------------------+--------+--------------+---------+-----------+--------------+----------+-----------------------------
2025-09-08 00:12:30.429 | INICIO_SIMULACION  |      - | READY        |       - |         - | RR           |        3 | tickMs=500, probNuevo=0.35
2025-09-08 00:12:34.259 | IDLE               |      - | IDLE         |       - |         - | RR           |        3 | sin procesos listos
2025-09-08 00:12:34.760 | IDLE               |      - | IDLE         |       - |         - | RR           |        3 | sin procesos listos
2025-09-08 00:12:35.261 | IDLE               |      - | IDLE         |       - |         - | RR           |        3 | sin procesos listos
2025-09-08 00:12:35.774 | CREAR_PROCESO      |      1 | READY        |      0% |      24MB | RR           |        3 | rafaga=6, prioridad=5
2025-09-08 00:12:35.774 | CAMBIO_ESTADO      |      1 | READY        |      0% |      24MB | RR           |        3 | NEW→READY
2025-09-08 00:12:35.775 | CAMBIO_ESTADO      |      1 | RUNNING      |      0% |      24MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:35.775 | EJECUTAR_TICK      |      1 | RUNNING      |     30% |     296MB | RR           |        3 | rafagaRestante=5
2025-09-08 00:12:36.260 | EJECUTAR_TICK      |      1 | RUNNING      |     36% |     120MB | RR           |        3 | rafagaRestante=4
2025-09-08 00:12:36.760 | EJECUTAR_TICK      |      1 | RUNNING      |     29% |     402MB | RR           |        3 | rafagaRestante=3
2025-09-08 00:12:36.762 | CAMBIO_ESTADO      |      1 | READY        |      0% |     402MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:37.265 | CREAR_PROCESO      |      2 | READY        |      0% |     105MB | RR           |        3 | rafaga=11, prioridad=1
2025-09-08 00:12:37.265 | CAMBIO_ESTADO      |      2 | READY        |      0% |     105MB | RR           |        3 | NEW→READY
2025-09-08 00:12:37.266 | CAMBIO_ESTADO      |      1 | RUNNING      |      0% |     402MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:37.267 | EJECUTAR_TICK      |      1 | RUNNING      |     80% |     243MB | RR           |        3 | rafagaRestante=2
2025-09-08 00:12:37.764 | CREAR_PROCESO      |      3 | READY        |      0% |     116MB | RR           |        3 | rafaga=11, prioridad=2
2025-09-08 00:12:37.765 | CAMBIO_ESTADO      |      3 | READY        |      0% |     116MB | RR           |        3 | NEW→READY
2025-09-08 00:12:37.766 | EJECUTAR_TICK      |      1 | RUNNING      |     90% |     122MB | RR           |        3 | rafagaRestante=1
2025-09-08 00:12:38.264 | CREAR_PROCESO      |      4 | READY        |      0% |      25MB | RR           |        3 | rafaga=10, prioridad=3
2025-09-08 00:12:38.264 | CAMBIO_ESTADO      |      4 | READY        |      0% |      25MB | RR           |        3 | NEW→READY
2025-09-08 00:12:38.265 | EJECUTAR_TICK      |      1 | RUNNING      |      0% |       0MB | RR           |        3 | rafagaRestante=0
2025-09-08 00:12:38.265 | CAMBIO_ESTADO      |      1 | TERMINATED   |      0% |       0MB | RR           |        3 | RUNNING→TERMINATED
2025-09-08 00:12:38.265 | TERMINAR_PROCESO   |      1 | TERMINATED   |      0% |       0MB | RR           |        3 | fin_natural
2025-09-08 00:12:38.763 | CAMBIO_ESTADO      |      2 | RUNNING      |      0% |     105MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:38.765 | EJECUTAR_TICK      |      2 | RUNNING      |     44% |     142MB | RR           |        3 | rafagaRestante=10
2025-09-08 00:12:39.263 | CREAR_PROCESO      |      5 | READY        |      0% |     197MB | RR           |        3 | rafaga=9, prioridad=4
2025-09-08 00:12:39.264 | CAMBIO_ESTADO      |      5 | READY        |      0% |     197MB | RR           |        3 | NEW→READY
2025-09-08 00:12:39.265 | EJECUTAR_TICK      |      2 | RUNNING      |     33% |      94MB | RR           |        3 | rafagaRestante=9
2025-09-08 00:12:39.760 | EJECUTAR_TICK      |      2 | RUNNING      |     28% |     466MB | RR           |        3 | rafagaRestante=8
2025-09-08 00:12:39.761 | CAMBIO_ESTADO      |      2 | READY        |      0% |     466MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:40.264 | CREAR_PROCESO      |      6 | READY        |      0% |     194MB | RR           |        3 | rafaga=7, prioridad=2
2025-09-08 00:12:40.265 | CAMBIO_ESTADO      |      6 | READY        |      0% |     194MB | RR           |        3 | NEW→READY
2025-09-08 00:12:40.267 | CAMBIO_ESTADO      |      3 | RUNNING      |      0% |     116MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:40.269 | EJECUTAR_TICK      |      3 | RUNNING      |     47% |     434MB | RR           |        3 | rafagaRestante=10
2025-09-08 00:12:40.762 | CREAR_PROCESO      |      7 | READY        |      0% |      16MB | RR           |        3 | rafaga=6, prioridad=4
2025-09-08 00:12:40.764 | CAMBIO_ESTADO      |      7 | READY        |      0% |      16MB | RR           |        3 | NEW→READY
2025-09-08 00:12:40.764 | EJECUTAR_TICK      |      3 | RUNNING      |     61% |     403MB | RR           |        3 | rafagaRestante=9
2025-09-08 00:12:41.260 | EJECUTAR_TICK      |      3 | RUNNING      |     20% |     432MB | RR           |        3 | rafagaRestante=8
2025-09-08 00:12:41.261 | CAMBIO_ESTADO      |      3 | READY        |      0% |     432MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:41.763 | CREAR_PROCESO      |      8 | READY        |      0% |     176MB | RR           |        3 | rafaga=6, prioridad=3
2025-09-08 00:12:41.764 | CAMBIO_ESTADO      |      8 | READY        |      0% |     176MB | RR           |        3 | NEW→READY
2025-09-08 00:12:41.765 | CAMBIO_ESTADO      |      4 | RUNNING      |      0% |      25MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:41.767 | EJECUTAR_TICK      |      4 | RUNNING      |     85% |     255MB | RR           |        3 | rafagaRestante=9
2025-09-08 00:12:42.262 | CREAR_PROCESO      |      9 | READY        |      0% |      15MB | RR           |        3 | rafaga=9, prioridad=4
2025-09-08 00:12:42.263 | CAMBIO_ESTADO      |      9 | READY        |      0% |      15MB | RR           |        3 | NEW→READY
2025-09-08 00:12:42.264 | EJECUTAR_TICK      |      4 | RUNNING      |     35% |      50MB | RR           |        3 | rafagaRestante=8
2025-09-08 00:12:42.758 | EJECUTAR_TICK      |      4 | RUNNING      |     16% |     396MB | RR           |        3 | rafagaRestante=7
2025-09-08 00:12:42.758 | CAMBIO_ESTADO      |      4 | READY        |      0% |     396MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:43.262 | CAMBIO_ESTADO      |      5 | RUNNING      |      0% |     197MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:43.263 | EJECUTAR_TICK      |      5 | RUNNING      |     55% |     485MB | RR           |        3 | rafagaRestante=8
2025-09-08 00:12:43.760 | EJECUTAR_TICK      |      5 | RUNNING      |     97% |     102MB | RR           |        3 | rafagaRestante=7
2025-09-08 00:12:44.260 | CREAR_PROCESO      |     10 | READY        |      0% |     127MB | RR           |        3 | rafaga=6, prioridad=1
2025-09-08 00:12:44.261 | CAMBIO_ESTADO      |     10 | READY        |      0% |     127MB | RR           |        3 | NEW→READY
2025-09-08 00:12:44.263 | EJECUTAR_TICK      |      5 | RUNNING      |     44% |     158MB | RR           |        3 | rafagaRestante=6
2025-09-08 00:12:44.264 | CAMBIO_ESTADO      |      5 | READY        |      0% |     158MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:44.759 | CAMBIO_ESTADO      |      2 | RUNNING      |      0% |     466MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:44.760 | EJECUTAR_TICK      |      2 | RUNNING      |     82% |     175MB | RR           |        3 | rafagaRestante=7
2025-09-08 00:12:45.260 | EJECUTAR_TICK      |      2 | RUNNING      |     10% |     154MB | RR           |        3 | rafagaRestante=6
2025-09-08 00:12:45.759 | EJECUTAR_TICK      |      2 | RUNNING      |     28% |     122MB | RR           |        3 | rafagaRestante=5
2025-09-08 00:12:45.760 | CAMBIO_ESTADO      |      2 | READY        |      0% |     122MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:46.261 | CAMBIO_ESTADO      |      6 | RUNNING      |      0% |     194MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:46.261 | EJECUTAR_TICK      |      6 | RUNNING      |     97% |     115MB | RR           |        3 | rafagaRestante=6
2025-09-08 00:12:46.761 | EJECUTAR_TICK      |      6 | RUNNING      |     44% |     265MB | RR           |        3 | rafagaRestante=5
2025-09-08 00:12:47.263 | CREAR_PROCESO      |     11 | READY        |      0% |     113MB | RR           |        3 | rafaga=9, prioridad=2
2025-09-08 00:12:47.263 | CAMBIO_ESTADO      |     11 | READY        |      0% |     113MB | RR           |        3 | NEW→READY
2025-09-08 00:12:47.264 | EJECUTAR_TICK      |      6 | RUNNING      |     67% |     492MB | RR           |        3 | rafagaRestante=4
2025-09-08 00:12:47.264 | CAMBIO_ESTADO      |      6 | READY        |      0% |     492MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:47.759 | CAMBIO_ESTADO      |      7 | RUNNING      |      0% |      16MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:47.760 | EJECUTAR_TICK      |      7 | RUNNING      |     95% |      21MB | RR           |        3 | rafagaRestante=5
2025-09-08 00:12:48.261 | EJECUTAR_TICK      |      7 | RUNNING      |     90% |     425MB | RR           |        3 | rafagaRestante=4
2025-09-08 00:12:48.762 | CREAR_PROCESO      |     12 | READY        |      0% |      71MB | RR           |        3 | rafaga=5, prioridad=5
2025-09-08 00:12:48.763 | CAMBIO_ESTADO      |     12 | READY        |      0% |      71MB | RR           |        3 | NEW→READY
2025-09-08 00:12:48.765 | EJECUTAR_TICK      |      7 | RUNNING      |     83% |     290MB | RR           |        3 | rafagaRestante=3
2025-09-08 00:12:48.766 | CAMBIO_ESTADO      |      7 | READY        |      0% |     290MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:49.261 | CAMBIO_ESTADO      |      3 | RUNNING      |      0% |     432MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:49.262 | EJECUTAR_TICK      |      3 | RUNNING      |     44% |     387MB | RR           |        3 | rafagaRestante=7
2025-09-08 00:12:49.764 | CREAR_PROCESO      |     13 | READY        |      0% |     171MB | RR           |        3 | rafaga=8, prioridad=2
2025-09-08 00:12:49.764 | CAMBIO_ESTADO      |     13 | READY        |      0% |     171MB | RR           |        3 | NEW→READY
2025-09-08 00:12:49.765 | EJECUTAR_TICK      |      3 | RUNNING      |     56% |     153MB | RR           |        3 | rafagaRestante=6
2025-09-08 00:12:50.260 | EJECUTAR_TICK      |      3 | RUNNING      |     56% |     286MB | RR           |        3 | rafagaRestante=5
2025-09-08 00:12:50.261 | CAMBIO_ESTADO      |      3 | READY        |      0% |     286MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:50.760 | CAMBIO_ESTADO      |      8 | RUNNING      |      0% |     176MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:50.761 | EJECUTAR_TICK      |      8 | RUNNING      |     58% |     148MB | RR           |        3 | rafagaRestante=5
2025-09-08 00:12:51.261 | CREAR_PROCESO      |     14 | READY        |      0% |     184MB | RR           |        3 | rafaga=9, prioridad=1
2025-09-08 00:12:51.262 | CAMBIO_ESTADO      |     14 | READY        |      0% |     184MB | RR           |        3 | NEW→READY
2025-09-08 00:12:51.262 | EJECUTAR_TICK      |      8 | RUNNING      |     37% |     301MB | RR           |        3 | rafagaRestante=4
2025-09-08 00:12:51.762 | CREAR_PROCESO      |     15 | READY        |      0% |     142MB | RR           |        3 | rafaga=10, prioridad=3
2025-09-08 00:12:51.763 | CAMBIO_ESTADO      |     15 | READY        |      0% |     142MB | RR           |        3 | NEW→READY
2025-09-08 00:12:51.764 | EJECUTAR_TICK      |      8 | RUNNING      |     74% |      28MB | RR           |        3 | rafagaRestante=3
2025-09-08 00:12:51.766 | CAMBIO_ESTADO      |      8 | READY        |      0% |      28MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:52.262 | CAMBIO_ESTADO      |      9 | RUNNING      |      0% |      15MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:52.262 | EJECUTAR_TICK      |      9 | RUNNING      |     44% |      18MB | RR           |        3 | rafagaRestante=8
2025-09-08 00:12:52.761 | EJECUTAR_TICK      |      9 | RUNNING      |     11% |      22MB | RR           |        3 | rafagaRestante=7
2025-09-08 00:12:53.260 | EJECUTAR_TICK      |      9 | RUNNING      |     64% |     484MB | RR           |        3 | rafagaRestante=6
2025-09-08 00:12:53.262 | CAMBIO_ESTADO      |      9 | READY        |      0% |     484MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:53.759 | CAMBIO_ESTADO      |      4 | RUNNING      |      0% |     396MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:53.760 | EJECUTAR_TICK      |      4 | RUNNING      |     44% |     219MB | RR           |        3 | rafagaRestante=6
2025-09-08 00:12:54.260 | EJECUTAR_TICK      |      4 | RUNNING      |     92% |      23MB | RR           |        3 | rafagaRestante=5
2025-09-08 00:12:54.759 | EJECUTAR_TICK      |      4 | RUNNING      |     97% |     413MB | RR           |        3 | rafagaRestante=4
2025-09-08 00:12:54.759 | CAMBIO_ESTADO      |      4 | READY        |      0% |     413MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:55.260 | CAMBIO_ESTADO      |     10 | RUNNING      |      0% |     127MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:55.261 | EJECUTAR_TICK      |     10 | RUNNING      |     52% |     352MB | RR           |        3 | rafagaRestante=5
2025-09-08 00:12:55.761 | EJECUTAR_TICK      |     10 | RUNNING      |     72% |     411MB | RR           |        3 | rafagaRestante=4
2025-09-08 00:12:56.260 | EJECUTAR_TICK      |     10 | RUNNING      |     29% |     316MB | RR           |        3 | rafagaRestante=3
2025-09-08 00:12:56.261 | CAMBIO_ESTADO      |     10 | READY        |      0% |     316MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:56.760 | CAMBIO_ESTADO      |      5 | RUNNING      |      0% |     158MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:56.760 | EJECUTAR_TICK      |      5 | RUNNING      |     12% |     137MB | RR           |        3 | rafagaRestante=5
2025-09-08 00:12:57.260 | EJECUTAR_TICK      |      5 | RUNNING      |     39% |     478MB | RR           |        3 | rafagaRestante=4
2025-09-08 00:12:57.760 | EJECUTAR_TICK      |      5 | RUNNING      |    100% |     346MB | RR           |        3 | rafagaRestante=3
2025-09-08 00:12:57.761 | CAMBIO_ESTADO      |      5 | READY        |      0% |     346MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:58.261 | CAMBIO_ESTADO      |      2 | RUNNING      |      0% |     122MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:58.262 | EJECUTAR_TICK      |      2 | RUNNING      |     54% |     167MB | RR           |        3 | rafagaRestante=4
2025-09-08 00:12:58.762 | EJECUTAR_TICK      |      2 | RUNNING      |     36% |     407MB | RR           |        3 | rafagaRestante=3
2025-09-08 00:12:59.260 | EJECUTAR_TICK      |      2 | RUNNING      |     74% |     196MB | RR           |        3 | rafagaRestante=2
2025-09-08 00:12:59.261 | CAMBIO_ESTADO      |      2 | READY        |      0% |     196MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:12:59.762 | CREAR_PROCESO      |     16 | READY        |      0% |      43MB | RR           |        3 | rafaga=8, prioridad=2
2025-09-08 00:12:59.762 | CAMBIO_ESTADO      |     16 | READY        |      0% |      43MB | RR           |        3 | NEW→READY
2025-09-08 00:12:59.762 | CAMBIO_ESTADO      |     11 | RUNNING      |      0% |     113MB | RR           |        3 | READY→RUNNING
2025-09-08 00:12:59.763 | EJECUTAR_TICK      |     11 | RUNNING      |     70% |      16MB | RR           |        3 | rafagaRestante=8
2025-09-08 00:13:00.261 | EJECUTAR_TICK      |     11 | RUNNING      |     80% |      45MB | RR           |        3 | rafagaRestante=7
2025-09-08 00:13:00.760 | EJECUTAR_TICK      |     11 | RUNNING      |     75% |     320MB | RR           |        3 | rafagaRestante=6
2025-09-08 00:13:00.762 | CAMBIO_ESTADO      |     11 | READY        |      0% |     320MB | RR           |        3 | preempt: quantum agotado
2025-09-08 00:13:01.262 | CREAR_PROCESO      |     17 | READY        |      0% |      18MB | RR           |        3 | rafaga=10, prioridad=2
2025-09-08 00:13:01.263 | CAMBIO_ESTADO      |     17 | READY        |      0% |      18MB | RR           |        3 | NEW→READY
