TIMESTAMP               | EVENTO             |    PID | ESTADO       |    CPU% |       MEM | ALGORITMO    |  QUANTUM | DETALLE
------------------------+--------------------+--------+--------------+---------+-----------+--------------+----------+-----------------------------
2025-09-16 21:29:00.845 | INICIO_SIMULACION  |      - | READY        |       - |         - | PRIORIDAD    |        - | tickMs=500, probNuevo=0.35
2025-09-16 21:29:02.913 | IDLE               |      - | IDLE         |       - |         - | PRIORIDAD    |        - | sin procesos listos
2025-09-16 21:29:03.413 | IDLE               |      - | IDLE         |       - |         - | PRIORIDAD    |        - | sin procesos listos
2025-09-16 21:29:03.913 | IDLE               |      - | IDLE         |       - |         - | PRIORIDAD    |        - | sin procesos listos
2025-09-16 21:29:04.420 | CREAR_PROCESO      |      1 | READY        |      0% |      24MB | PRIORIDAD    |        - | rafaga=6, prioridad=5
2025-09-16 21:29:04.421 | CAMBIO_ESTADO      |      1 | READY        |      0% |      24MB | PRIORIDAD    |        - | NEW→READY
2025-09-16 21:29:04.421 | CAMBIO_ESTADO      |      1 | RUNNING      |      0% |      24MB | PRIORIDAD    |        - | READY→RUNNING
2025-09-16 21:29:04.423 | EJECUTAR_TICK      |      1 | RUNNING      |     30% |     296MB | PRIORIDAD    |        - | rafagaRestante=5
2025-09-16 21:29:04.914 | EJECUTAR_TICK      |      1 | RUNNING      |     36% |     120MB | PRIORIDAD    |        - | rafagaRestante=4
2025-09-16 21:29:05.413 | EJECUTAR_TICK      |      1 | RUNNING      |     29% |     402MB | PRIORIDAD    |        - | rafagaRestante=3
2025-09-16 21:29:05.917 | CREAR_PROCESO      |      2 | READY        |      0% |     105MB | PRIORIDAD    |        - | rafaga=11, prioridad=1
2025-09-16 21:29:05.918 | CAMBIO_ESTADO      |      2 | READY        |      0% |     105MB | PRIORIDAD    |        - | NEW→READY
2025-09-16 21:29:05.919 | CAMBIO_ESTADO      |      2 | RUNNING      |      0% |     105MB | PRIORIDAD    |        - | READY→RUNNING
2025-09-16 21:29:05.920 | EJECUTAR_TICK      |      2 | RUNNING      |     44% |     142MB | PRIORIDAD    |        - | rafagaRestante=10
2025-09-16 21:29:06.416 | CREAR_PROCESO      |      3 | READY        |      0% |     116MB | PRIORIDAD    |        - | rafaga=11, prioridad=2
2025-09-16 21:29:06.416 | CAMBIO_ESTADO      |      3 | READY        |      0% |     116MB | PRIORIDAD    |        - | NEW→READY
2025-09-16 21:29:06.417 | EJECUTAR_TICK      |      2 | RUNNING      |     33% |      94MB | PRIORIDAD    |        - | rafagaRestante=9
