TIMESTAMP               | EVENTO             |    PID | ESTADO       |    CPU% |       MEM | ALGORITMO    |  QUANTUM | DETALLE
------------------------+--------------------+--------+--------------+---------+-----------+--------------+----------+-----------------------------
2025-09-06 00:44:51.024 | INICIO_SIMULACION  |      - | READY        |       - |         - | RR           |        3 | tickMs=500, probNuevo=0.35
2025-09-06 00:44:54.852 | IDLE               |      - | IDLE         |       - |         - | RR           |        3 | sin procesos listos
2025-09-06 00:44:55.353 | IDLE               |      - | IDLE         |       - |         - | RR           |        3 | sin procesos listos
2025-09-06 00:44:55.854 | IDLE               |      - | IDLE         |       - |         - | RR           |        3 | sin procesos listos
2025-09-06 00:44:56.370 | CREAR_PROCESO      |      1 | READY        |      0% |      24MB | RR           |        3 | rafaga=6, prioridad=5
2025-09-06 00:44:56.371 | CAMBIO_ESTADO      |      1 | READY        |      0% |      24MB | RR           |        3 | NEW→READY
2025-09-06 00:44:56.371 | CAMBIO_ESTADO      |      1 | RUNNING      |      0% |      24MB | RR           |        3 | READY→RUNNING
2025-09-06 00:44:56.371 | EJECUTAR_TICK      |      1 | RUNNING      |     30% |     296MB | RR           |        3 | rafagaRestante=5
2025-09-06 00:44:56.853 | EJECUTAR_TICK      |      1 | RUNNING      |     36% |     120MB | RR           |        3 | rafagaRestante=4
2025-09-06 00:44:57.355 | EJECUTAR_TICK      |      1 | RUNNING      |     29% |     402MB | RR           |        3 | rafagaRestante=3
2025-09-06 00:44:57.356 | CAMBIO_ESTADO      |      1 | READY        |      0% |     402MB | RR           |        3 | preempt: quantum agotado
2025-09-06 00:44:57.854 | CREAR_PROCESO      |      2 | READY        |      0% |     105MB | RR           |        3 | rafaga=11, prioridad=1
2025-09-06 00:44:57.854 | CAMBIO_ESTADO      |      2 | READY        |      0% |     105MB | RR           |        3 | NEW→READY
2025-09-06 00:44:57.855 | CAMBIO_ESTADO      |      1 | RUNNING      |      0% |     402MB | RR           |        3 | READY→RUNNING
2025-09-06 00:44:57.856 | EJECUTAR_TICK      |      1 | RUNNING      |     80% |     243MB | RR           |        3 | rafagaRestante=2
2025-09-06 00:44:58.357 | CREAR_PROCESO      |      3 | READY        |      0% |     116MB | RR           |        3 | rafaga=11, prioridad=2
2025-09-06 00:44:58.357 | CAMBIO_ESTADO      |      3 | READY        |      0% |     116MB | RR           |        3 | NEW→READY
2025-09-06 00:44:58.358 | EJECUTAR_TICK      |      1 | RUNNING      |     90% |     122MB | RR           |        3 | rafagaRestante=1
2025-09-06 00:44:58.858 | CREAR_PROCESO      |      4 | READY        |      0% |      25MB | RR           |        3 | rafaga=10, prioridad=3
2025-09-06 00:44:58.859 | CAMBIO_ESTADO      |      4 | READY        |      0% |      25MB | RR           |        3 | NEW→READY
2025-09-06 00:44:58.860 | EJECUTAR_TICK      |      1 | RUNNING      |      0% |       0MB | RR           |        3 | rafagaRestante=0
2025-09-06 00:44:58.861 | CAMBIO_ESTADO      |      1 | TERMINATED   |      0% |       0MB | RR           |        3 | RUNNING→TERMINATED
2025-09-06 00:44:58.861 | TERMINAR_PROCESO   |      1 | TERMINATED   |      0% |       0MB | RR           |        3 | fin_natural
2025-09-06 00:44:59.355 | CAMBIO_ESTADO      |      2 | RUNNING      |      0% |     105MB | RR           |        3 | READY→RUNNING
2025-09-06 00:44:59.356 | EJECUTAR_TICK      |      2 | RUNNING      |     44% |     142MB | RR           |        3 | rafagaRestante=10
2025-09-06 00:44:59.854 | CREAR_PROCESO      |      5 | READY        |      0% |     197MB | RR           |        3 | rafaga=9, prioridad=4
2025-09-06 00:44:59.855 | CAMBIO_ESTADO      |      5 | READY        |      0% |     197MB | RR           |        3 | NEW→READY
2025-09-06 00:44:59.855 | EJECUTAR_TICK      |      2 | RUNNING      |     33% |      94MB | RR           |        3 | rafagaRestante=9
2025-09-06 00:45:00.354 | EJECUTAR_TICK      |      2 | RUNNING      |     28% |     466MB | RR           |        3 | rafagaRestante=8
2025-09-06 00:45:00.355 | CAMBIO_ESTADO      |      2 | READY        |      0% |     466MB | RR           |        3 | preempt: quantum agotado
2025-09-06 00:45:00.854 | CREAR_PROCESO      |      6 | READY        |      0% |     194MB | RR           |        3 | rafaga=7, prioridad=2
2025-09-06 00:45:00.854 | CAMBIO_ESTADO      |      6 | READY        |      0% |     194MB | RR           |        3 | NEW→READY
2025-09-06 00:45:00.854 | CAMBIO_ESTADO      |      3 | RUNNING      |      0% |     116MB | RR           |        3 | READY→RUNNING
